,MonthNum,YearNum,YearsFrac,YearsFloor,GrossPotentialRent,GeneralVacancy,NetRentalRevenue,OtherIncome,EffectiveGrossRevenue,OperatingExpenses,NetOperatingIncome,CapitalReserve,CapitalImprovements,CashFlowBeforeDebtService,InterestPayment,PrincipalPayment,CashFlowAfterDebtService
2024-03-01,36,3,2.9166666666666665,2.0,179390.96067546983,-12557.36724728289,166833.59342818696,21800.773411522325,188634.36683970928,-78809.64420312364,109824.72263658565,-2080.8,0.0,107743.92263658564,-49919.466920122264,-21016.47645550174,36807.97926096164
2024-04-01,37,4,3.0,3.0,179978.24000000002,-12598.476800000002,167379.76320000002,21854.54,189234.30320000002,-78971.97916666664,110262.32403333338,-2122.416,0.0,108139.90803333338,-49840.65513341413,-21095.28824220987,37203.96465770938
2024-05-01,38,4,3.0833333333333335,3.0,180567.44192421815,-12639.720934695271,167927.72098952287,21908.4391913896,189836.16018091247,-79134.64851365541,110701.51166725706,-2122.416,0.0,108579.09566725706,-49761.54780250585,-21174.395573118156,37643.15229163306
2024-06-01,39,4,3.1666666666666665,3.0,181158.57274221536,-12681.100091955077,168477.4726502603,21962.471312725676,190439.94396298597,-79297.65293286511,111142.29103012086,-2122.416,0.0,109019.87503012086,-49682.143819106655,-21253.799556517348,38083.93165449686
2024-07-01,40,4,3.25,3.0,181751.6387686879,-12722.614713808154,169029.02405487976,22016.636691849337,191045.6607467291,-79460.99311448963,111584.66763223946,-2122.416,0.0,109462.25163223947,-49602.44207076972,-21333.501304854282,38526.30825661546
2024-08-01,41,4,3.3333333333333335,3.0,182346.6463390048,-12764.265243730337,169582.38109527447,22070.93565741024,191653.3167526847,-79624.66975014459,112028.64700254012,-2122.416,0.0,109906.23100254012,-49522.44144087652,-21413.50193474748,38970.28762691612
2024-09-01,42,4,3.4166666666666665,3.0,182943.60180927534,-12806.052126649274,170137.54968262606,22125.368538868563,192262.91822149462,-79788.6835328702,112474.23468862442,-2122.416,0.0,110351.81868862442,-49442.14080862122,-21493.802567002786,39415.87531300042
2024-10-01,43,4,3.5,3.0,183542.51155641713,-12847.9758089492,170694.53574746792,22179.93566649705,192874.47141396496,-79953.03515713422,112921.43625683074,-2122.416,0.0,110799.02025683074,-49361.53904899496,-21574.404326629046,39863.07688120674
2024-11-01,44,4,3.5833333333333335,3.0,184143.38197822406,-12890.036738475685,171253.34523974836,22234.637371382974,193487.98261113133,-80117.7253188349,113370.25729229643,-2122.416,0.0,111247.84129229643,-49280.6350327701,-21655.308342853903,40311.89791667243
2024-12-01,45,4,3.6666666666666665,3.0,184746.2194934348,-12932.235364540436,171813.98412889434,22289.473985430148,194103.4581143245,-80282.75471530395,113820.70339902054,-2122.416,0.0,111698.28739902054,-49199.427626484394,-21736.51574913961,40762.34402339654
2025-01-01,46,4,3.75,3.0,185351.0305418013,-12974.572137926092,172376.4584038752,22344.44584136096,194720.90424523616,-80448.12404530942,114272.78019992674,-2122.416,0.0,112150.36419992674,-49117.91569242513,-21818.027683198874,41214.42082430274
2025-02-01,47,4,3.8333333333333335,3.0,185957.82158415756,-13017.04751089103,172940.77407326654,22399.553272718385,195340.32734598493,-80613.83400905877,114726.49333692616,-2122.416,0.0,112604.07733692616,-49036.09808861313,-21899.845287010874,41668.133961302156
2025-03-01,48,4,3.9166666666666665,3.0,186566.59910248866,-13059.661937174207,173506.93716531445,22454.796613867995,195961.73377918245,-80779.88530820173,115181.84847098072,-2122.416,0.0,113059.43247098073,-48953.97366878684,-21981.96970683716,42123.48909535672
2025-04-01,49,5,4.0,4.0,187177.36960000003,-13102.415872000003,174074.95372800002,22510.1762,196585.12992800004,-80946.2786458333,115638.85128216674,-2164.86432,0.0,113473.98696216675,-48871.54128238621,-22064.40209323779,42538.04358654274
2025-05-01,50,5,4.083333333333333,4.0,187790.1396011869,-13145.309772083085,174644.82982910384,22565.69236713129,197210.52219623514,-81113.0147264968,116097.50746973834,-2164.86432,0.0,113932.64314973835,-48788.79977453656,-22147.143601087446,42996.69977411434
2025-06-01,51,5,4.166666666666667,4.0,188404.91565190398,-13188.34409563328,175216.5715562707,22621.345452107445,197837.91700837814,-81280.09425618673,116557.82275219141,-2164.86432,0.0,114392.95843219142,-48705.7479860325,-22230.195389591507,43457.01505656741
2025-07-01,52,5,4.25,4.0,189021.70431943543,-13231.519302360482,175790.18501707495,22677.13579260482,198467.32080967978,-81447.51794235187,117019.8028673279,-2164.86432,0.0,114854.93854732791,-48622.384753321516,-22313.558622302487,43918.99517170391
2025-08-01,53,5,4.333333333333333,4.0,189640.51219256502,-13274.835853479552,176365.67633908548,22733.063727132543,199098.74006621802,-81615.2864938982,117483.45357231982,-2164.86432,0.0,115318.58925231983,-48538.7089084879,-22397.234467136106,44382.645876695824
2025-09-01,54,5,4.416666666666667,4.0,190261.34588164638,-13318.294211715249,176943.05166993113,22789.12959503462,199732.18126496574,-81783.40062119195,117948.78064377379,-2164.86432,0.0,115783.9163237738,-48454.71927923614,-22481.224096387865,44847.9729481498
2025-10-01,55,5,4.5,4.0,190884.2120186738,-13361.894841307167,177522.31717736664,22845.333736491964,200367.6509138586,-81951.86103606256,118415.78987779605,-2164.86432,0.0,116250.92555779606,-48370.41468887468,-22565.52868674932,45314.98218217206
2025-11-01,56,5,4.583333333333333,4.0,191509.117257353,-13405.638208014712,178103.4790493383,22901.676492524464,201005.15554186277,-82120.66845180576,118884.48709005701,-2164.86432,0.0,116719.62277005702,-48285.79395629937,-22650.149419324633,45783.67939443301
2025-12-01,57,5,4.666666666666667,4.0,192136.06827317222,-13449.524779122057,178686.54349405016,22958.15820499305,201644.70169904322,-82289.82358318653,119354.87811585669,-2164.86432,0.0,117190.01379585669,-48200.855895976914,-22735.08747964709,46254.07042023269
2026-01-01,58,5,4.75,4.0,192765.07176347336,-13493.555023443136,179271.51674003023,23014.77921660179,202286.295956632,-82459.32714644216,119826.96881018985,-2164.86432,0.0,117662.10449018986,-48115.59931792824,-22820.344057695766,46726.16111456585
2026-02-01,59,5,4.833333333333333,4.0,193396.1344475239,-13537.729411326673,179858.40503619722,23071.53987089994,202929.94490709715,-82629.17985928523,120300.76504781192,-2164.86432,0.0,118135.90072781192,-48030.023027711875,-22905.920347912128,47199.957352187914
2026-03-01,60,5,4.916666666666667,4.0,194029.2630665882,-13582.048414661176,180447.21465192703,23128.440512284033,203575.65516421106,-82799.38244090676,120776.2727233043,-2164.86432,0.0,118611.4084033043,-47944.1258264072,-22991.8175492168,47675.46502768029
2026-04-01,61,6,5.0,5.0,194664.46438400002,-13626.512506880003,181037.95187712,23185.481486,204223.43336312,-82969.93561197912,121253.4977511409,-2208.1616064,0.0,119045.3361447409,-47857.90651059765,-23078.036865026355,48109.392769116894
2026-05-01,62,6,5.083333333333333,5.0,195301.74518523438,-13671.122162966409,181630.62302226797,23242.663138145228,204873.2861604132,-83140.84009465922,121732.44606575399,-2208.1616064,0.0,119524.28445935399,-47771.36387235379,-23164.579503270215,48588.34108372999
2026-06-01,63,6,5.166666666666667,5.0,195941.11227798014,-13715.877859458611,182225.23441852152,23299.985815670672,205525.22023419218,-83312.09661259138,122213.1236216008,-2208.1616064,0.0,120004.9620152008,-47684.496699216535,-23251.446676407468,49069.0186395768
2026-07-01,64,6,5.25,5.0,196582.57249221287,-13760.780074454902,182821.79241775797,23357.449866382965,206179.24228414093,-83483.70589091066,122695.53639323027,-2208.1616064,0.0,120487.37478683027,-47597.30377418001,-23338.639601443996,49551.43141120627
2026-08-01,65,6,5.333333333333333,5.0,197226.1326802676,-13805.829287618733,183420.30339264887,23415.05563894652,206835.3590315954,-83655.66865624565,123179.69037534976,-2208.1616064,0.0,120971.52876894976,-47509.78387567459,-23426.159499949412,50035.58539332576
2026-09-01,66,6,5.416666666666667,5.0,197871.79971691224,-13851.025980183858,184020.77373672838,23472.80348288566,207493.57721961406,-83827.98563672174,123665.59158289232,-2208.1616064,0.0,121457.42997649232,-47421.9357775498,-23514.007598074204,50521.486600868324
2026-10-01,67,6,5.5,5.0,198519.58049942076,-13896.370634959454,184623.2098644613,23530.693748586727,208153.90361304802,-84000.65756196412,124153.2460510839,-2208.1616064,0.0,121945.0844446839,-47333.75824905702,-23602.185126566983,51009.1410690599
2026-11-01,68,6,5.583333333333333,5.0,199169.48194764715,-13941.863736335301,185227.61821131184,23588.726787300195,208816.34499861204,-84173.6851631009,124642.65983551113,-2208.1616064,0.0,122434.49822911114,-47245.250054832395,-23690.693320791608,51498.55485348713
2026-12-01,69,6,5.666666666666667,5.0,199821.51100409913,-13987.50577028694,185834.00523381217,23646.902951142845,209480.908184955,-84347.06917276619,125133.83901218882,-2208.1616064,0.0,122925.67740578883,-47156.40995487942,-23779.533420744585,51989.73403016482
2027-01-01,70,6,5.75,5.0,200475.67463401234,-14033.297224380865,186442.37740963147,23705.222593099843,210147.6000027313,-84520.8103251032,125626.78967762811,-2208.1616064,0.0,123418.62807122812,-47067.23670455163,-23868.706671072374,52482.68469560411
2027-02-01,71,6,5.833333333333333,5.0,201131.97982542485,-14079.23858777974,187052.7412376451,23763.686067026938,210816.42730467202,-84694.90935576735,126121.51794890467,-2208.1616064,0.0,123913.35634250467,-46977.72905453511,-23958.21432108889,52977.41296688067
2027-03-01,72,6,5.916666666666667,5.0,201790.43358925174,-14125.330351247623,187665.1032380041,23822.293727652555,211487.39696565666,-84869.36700192942,126618.02996372724,-2208.1616064,0.0,124409.86835732724,-46887.885750831025,-24048.05762479298,53473.92498170325
2027-04-01,73,7,6.0,6.0,202451.04295936006,-14171.573007155206,188279.46995220485,23881.045930580003,212160.51588278485,-85044.18400227859,127116.33188050626,-2252.3248385280003,0.0,124864.00704197826,-46797.70553473806,-24138.237840885944,53928.06366635425
2027-05-01,74,7,6.083333333333333,6.0,203113.81499264375,-14217.967049485063,188895.84794315867,23939.943032289586,212835.79097544827,-85219.36109702567,127616.4298784226,-2252.3248385280003,0.0,125364.1050398946,-46707.187142834744,-24228.75623278926,54428.161664270585
2027-06-01,75,7,6.166666666666667,6.0,203778.75676909933,-14264.512973836954,189514.2437952624,23998.985390140795,213513.22918540318,-85394.89902790617,128118.33015749701,-2252.3248385280003,0.0,125866.00531896901,-46616.32930696178,-24319.614068662224,54930.061943345005
2027-07-01,76,7,6.25,6.0,204445.87539190138,-14311.211277433098,190134.6641144683,24058.173362374455,214192.83747684275,-85570.79853818342,128622.03893865933,-2252.3248385280003,0.0,126369.71410013133,-46525.130754204314,-24410.81262141969,55433.77072450732
2027-08-01,77,7,6.333333333333333,6.0,205115.17798747832,-14358.062459123485,190757.11552835483,24117.507308114917,214874.62283646973,-85747.06037265177,129127.56246381796,-2252.3248385280003,0.0,126875.23762528996,-46433.59020687398,-24502.35316875002,55939.29424966595
2027-09-01,78,7,6.416666666666667,6.0,205786.67170558873,-14405.067019391212,191381.6046861975,24176.987587372234,215558.59227356972,-85923.68527763977,129634.90699592995,-2252.3248385280003,0.0,127382.58215740195,-46341.706382491175,-24594.23699313283,56446.63878177795
2027-10-01,79,7,6.5,6.0,206460.3637193976,-14452.225460357833,192008.13825903978,24236.61456104433,216244.7528200841,-86100.67400101322,130144.07881907088,-2252.3248385280003,0.0,127891.75398054288,-46249.47799376692,-24686.46538185708,56955.81060491888
